3,46,0
3,25,0
0,55,0
6,17,0
9,57,0
7,18,0
2,33,0
1,34,0
12,51,0
2,31,0
5,5,0
10,5,0
2,19,0
11,4,0
3,18,0
9,2,0
4,17,0
9,58,0
2,15,0
8,48,0
11,11,0
8,39,0
3,48,0
11,13,0
10,24,0
7,24,0
7,48,0
5,3,0
2,37,0
4,39,0
8,48,0
1,36,0
10,43,0
10,11,0
10,32,0
6,22,0
3,21,0
7,52,0
6,51,0
12,52,0
9,16,0
10,37,0
5,23,0
11,23,0
1,26,0
6,39,0
10,8,0
6,60,0
10,48,0
1,5,0
60,57,1
64,15,1
67,27,1
67,9,1
67,34,1
67,3,1
61,48,1
67,60,1
62,36,1
61,2,1
61,14,1
61,47,1
72,58,1
72,50,1
65,49,1
65,43,1
65,51,1
68,3,1
64,23,1
62,5,1
66,48,1
72,2,1
64,35,1
70,20,1
64,31,1
60,12,1
71,34,1
60,45,1
62,33,1
63,5,1
63,37,1
64,31,1
60,58,1
69,50,1
68,9,1
70,50,1
60,18,1
71,19,1
61,20,1
63,24,1
71,7,1
62,34,1
72,31,1
72,45,1
66,13,1
62,8,1
62,50,1
67,23,1
68,38,1
71,17,1
